objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Costs_[MEUR],D&G,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&G,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G,average,100,1,1720.0,0.52,00_00_00_01
Shipping_Costs_[MEUR],D&G,average,100,2,490.0,0.15,00_00_00_02
Shipping_Costs_[MEUR],D&G,average,100,4,620.0,0.19,00_00_00_04
Shipping_Costs_[MEUR],D&G,average,100,5,1540.0,0.46,00_00_00_05
Shipping_Costs_[MEUR],D&G,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&G,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&G,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,20,1,610.0,0.47,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,60,1,1360.0,0.63,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,60,2,650.0,0.3,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,60,4,700.0,0.32,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,60,5,1160.0,0.54,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&G&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&G&Wp,average,100,1,1970.0,0.59,00_00_00_01
Shipping_Costs_[MEUR],D&G&Wp,average,100,2,1100.0,0.33,00_00_00_02
Shipping_Costs_[MEUR],D&G&Wp,average,100,4,1180.0,0.35,00_00_00_04
Shipping_Costs_[MEUR],D&G&Wp,average,100,5,1860.0,0.56,00_00_00_05
Shipping_Costs_[MEUR],D&G&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&G&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&G&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],D&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,20,1,620.0,0.48,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],D&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,60,1,1450.0,0.67,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,60,2,860.0,0.39,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,60,4,890.0,0.41,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,60,5,1390.0,0.64,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],D&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],D&Wp,average,100,1,2100.0,0.64,00_00_00_01
Shipping_Costs_[MEUR],D&Wp,average,100,2,1420.0,0.43,00_00_00_02
Shipping_Costs_[MEUR],D&Wp,average,100,4,1470.0,0.45,00_00_00_04
Shipping_Costs_[MEUR],D&Wp,average,100,5,2130.0,0.65,00_00_00_05
Shipping_Costs_[MEUR],D&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],D&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],D&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],G,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,20,1,580.0,0.44,00_00_00_01
Shipping_Costs_[MEUR],G,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],G,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],G,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],G,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],G,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],G,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],G,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,60,1,1180.0,0.55,00_00_00_01
Shipping_Costs_[MEUR],G,average,60,2,220.0,0.1,00_00_00_02
Shipping_Costs_[MEUR],G,average,60,4,300.0,0.14,00_00_00_04
Shipping_Costs_[MEUR],G,average,60,5,710.0,0.33,00_00_00_05
Shipping_Costs_[MEUR],G,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],G,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],G,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],G,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G,average,100,1,1710.0,0.52,00_00_00_01
Shipping_Costs_[MEUR],G,average,100,2,460.0,0.14,00_00_00_02
Shipping_Costs_[MEUR],G,average,100,4,590.0,0.18,00_00_00_04
Shipping_Costs_[MEUR],G,average,100,5,1320.0,0.4,00_00_00_05
Shipping_Costs_[MEUR],G,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],G,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],G,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,20,1,620.0,0.48,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],G&Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,60,1,1450.0,0.67,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,60,2,840.0,0.39,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,60,4,880.0,0.41,00_00_00_04
Shipping_Costs_[MEUR],G&Wp,average,60,5,1190.0,0.55,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,100,1,2090.0,0.63,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,100,2,1390.0,0.42,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,100,4,1450.0,0.44,00_00_00_04
Shipping_Costs_[MEUR],G&Wp,average,100,5,1910.0,0.58,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],Wp,average,20,1,670.0,0.51,00_00_00_01
Shipping_Costs_[MEUR],Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],Wp,average,20,7,1240.0,0.95,00_00_00_07
