objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,20,09,36.53,0.85,00_09_00_00
Crop_Loss,D&Wp,average,60,00,203.96,1.02,00_00_00_00
Crop_Loss,D&Wp,average,60,01,125.07,0.63,00_01_00_00
Crop_Loss,D&Wp,average,60,03,123.48,0.62,00_03_00_00
Crop_Loss,D&Wp,average,60,05,70.33,0.35,00_05_00_00
Crop_Loss,D&Wp,average,60,06,85.15,0.42,00_06_00_00
Crop_Loss,D&Wp,average,60,07,62.68,0.31,00_07_00_00
Crop_Loss,D&Wp,average,60,08,79.77,0.4,00_08_00_00
Crop_Loss,D&Wp,average,60,09,117.33,0.59,00_09_00_00
Crop_Loss,D&Wp,average,100,00,406.8,1.03,00_00_00_00
Crop_Loss,D&Wp,average,100,01,193.39,0.49,00_01_00_00
Crop_Loss,D&Wp,average,100,03,193.95,0.49,00_03_00_00
Crop_Loss,D&Wp,average,100,05,122.55,0.31,00_05_00_00
Crop_Loss,D&Wp,average,100,06,118.87,0.3,00_06_00_00
Crop_Loss,D&Wp,average,100,07,103.03,0.26,00_07_00_00
Crop_Loss,D&Wp,average,100,08,145.88,0.37,00_08_00_00
Crop_Loss,D&Wp,average,100,09,173.93,0.44,00_09_00_00
Crop_Loss,G,average,20,00,35.68,0.99,00_00_00_00
Crop_Loss,G,average,20,01,36.61,1.02,00_01_00_00
Crop_Loss,G,average,20,03,34.2,0.95,00_03_00_00
Crop_Loss,G,average,20,05,30.18,0.84,00_05_00_00
Crop_Loss,G,average,20,06,31.44,0.87,00_06_00_00
Crop_Loss,G,average,20,07,23.85,0.66,00_07_00_00
Crop_Loss,G,average,20,08,24.22,0.67,00_08_00_00
Crop_Loss,G,average,20,09,31.2,0.87,00_09_00_00
Crop_Loss,G,average,60,00,139.54,1.02,00_00_00_00
Crop_Loss,G,average,60,01,100.66,0.74,00_01_00_00
Crop_Loss,G,average,60,03,98.87,0.73,00_03_00_00
Crop_Loss,G,average,60,05,58.57,0.43,00_05_00_00
Crop_Loss,G,average,60,06,74.49,0.55,00_06_00_00
Crop_Loss,G,average,60,07,52.92,0.39,00_07_00_00
Crop_Loss,G,average,60,08,59.03,0.43,00_08_00_00
Crop_Loss,G,average,60,09,95.23,0.7,00_09_00_00
Crop_Loss,G,average,100,00,240.48,1.03,00_00_00_00
Crop_Loss,G,average,100,01,146.62,0.63,00_01_00_00
Crop_Loss,G,average,100,03,146.14,0.63,00_03_00_00
Crop_Loss,G,average,100,05,86.14,0.37,00_05_00_00
Crop_Loss,G,average,100,06,100.55,0.43,00_06_00_00
Crop_Loss,G,average,100,07,85.22,0.37,00_07_00_00
Crop_Loss,G,average,100,08,94.35,0.41,00_08_00_00
Crop_Loss,G,average,100,09,140.5,0.6,00_09_00_00
Crop_Loss,G&Wp,average,20,00,43.6,1.0,00_00_00_00
Crop_Loss,G&Wp,average,20,01,44.41,1.02,00_01_00_00
Crop_Loss,G&Wp,average,20,03,41.35,0.95,00_03_00_00
Crop_Loss,G&Wp,average,20,05,34.23,0.79,00_05_00_00
Crop_Loss,G&Wp,average,20,06,36.88,0.85,00_06_00_00
Crop_Loss,G&Wp,average,20,07,24.96,0.57,00_07_00_00
Crop_Loss,G&Wp,average,20,08,25.74,0.59,00_08_00_00
Crop_Loss,G&Wp,average,20,09,37.02,0.85,00_09_00_00
Crop_Loss,G&Wp,average,60,00,210.86,1.02,00_00_00_00
Crop_Loss,G&Wp,average,60,01,128.98,0.62,00_01_00_00
Crop_Loss,G&Wp,average,60,03,127.02,0.61,00_03_00_00
Crop_Loss,G&Wp,average,60,05,72.3,0.35,00_05_00_00
Crop_Loss,G&Wp,average,60,06,87.96,0.42,00_06_00_00
Crop_Loss,G&Wp,average,60,07,65.73,0.32,00_07_00_00
Crop_Loss,G&Wp,average,60,08,84.54,0.41,00_08_00_00
Crop_Loss,G&Wp,average,60,09,120.78,0.58,00_09_00_00
Crop_Loss,G&Wp,average,100,00,423.96,1.02,00_00_00_00
Crop_Loss,G&Wp,average,100,01,201.62,0.49,00_01_00_00
Crop_Loss,G&Wp,average,100,03,201.52,0.49,00_03_00_00
Crop_Loss,G&Wp,average,100,05,128.55,0.31,00_05_00_00
Crop_Loss,G&Wp,average,100,06,125.21,0.3,00_06_00_00
Crop_Loss,G&Wp,average,100,07,110.67,0.27,00_07_00_00
Crop_Loss,G&Wp,average,100,08,156.0,0.38,00_08_00_00
Crop_Loss,G&Wp,average,100,09,180.4,0.44,00_09_00_00
Crop_Loss,Wp,average,20,00,51.53,1.0,00_00_00_00
Crop_Loss,Wp,average,20,01,52.22,1.02,00_01_00_00
Crop_Loss,Wp,average,20,03,48.5,0.94,00_03_00_00
Crop_Loss,Wp,average,20,05,38.27,0.75,00_05_00_00
Crop_Loss,Wp,average,20,06,42.31,0.82,00_06_00_00
Crop_Loss,Wp,average,20,07,26.06,0.51,00_07_00_00
Crop_Loss,Wp,average,20,08,27.26,0.53,00_08_00_00
Crop_Loss,Wp,average,20,09,42.83,0.83,00_09_00_00
Crop_Loss,Wp,average,60,00,282.17,1.02,00_00_00_00
Crop_Loss,Wp,average,60,01,157.31,0.57,00_01_00_00
Crop_Loss,Wp,average,60,03,155.16,0.56,00_03_00_00
Crop_Loss,Wp,average,60,05,86.03,0.31,00_05_00_00
Crop_Loss,Wp,average,60,06,101.43,0.37,00_06_00_00
Crop_Loss,Wp,average,60,07,78.54,0.29,00_07_00_00
Crop_Loss,Wp,average,60,08,110.05,0.4,00_08_00_00
Crop_Loss,Wp,average,60,09,146.33,0.53,00_09_00_00
Crop_Loss,Wp,average,100,00,607.44,1.02,00_00_00_00
Crop_Loss,Wp,average,100,01,256.62,0.43,00_01_00_00
Crop_Loss,Wp,average,100,03,256.89,0.43,00_03_00_00
Crop_Loss,Wp,average,100,05,170.97,0.29,00_05_00_00
Crop_Loss,Wp,average,100,06,149.86,0.25,00_06_00_00
Crop_Loss,Wp,average,100,07,136.13,0.23,00_07_00_00
Crop_Loss,Wp,average,100,08,217.66,0.37,00_08_00_00
Crop_Loss,Wp,average,100,09,220.31,0.37,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,20,01,1.93,0.08,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,20,03,5.13,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,20,05,7.97,0.32,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,20,06,6.61,0.26,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,20,07,7.67,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,20,08,6.6,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,20,09,0.48,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,60,01,32.26,0.32,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,60,03,32.17,0.32,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,60,05,68.31,0.68,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,60,06,49.85,0.5,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,60,07,19.31,0.19,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,60,08,12.36,0.12,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,60,09,36.62,0.37,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,100,01,67.74,0.38,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,100,03,70.44,0.39,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,100,05,133.49,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,100,06,107.77,0.6,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,100,07,30.87,0.17,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,100,08,18.08,0.1,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,100,09,102.58,0.57,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,01,2.25,0.09,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,03,5.14,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,05,8.59,0.34,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,06,6.9,0.28,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,07,7.71,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,08,6.64,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,09,0.5,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,01,33.99,0.34,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,03,33.88,0.34,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,05,71.69,0.72,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,06,51.71,0.52,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,07,22.45,0.22,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,08,15.79,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,09,38.45,0.38,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,01,74.83,0.42,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,03,76.83,0.43,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,05,137.81,0.77,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,06,110.91,0.62,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,07,37.18,0.21,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,08,26.77,0.15,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,09,106.37,0.59,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,01,2.57,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,05,9.7,0.39,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,06,7.42,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,07,8.43,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,08,6.77,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,09,0.57,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,01,40.89,0.41,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,03,40.55,0.41,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,05,75.41,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,06,57.26,0.57,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,07,36.04,0.36,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,08,26.67,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,09,43.66,0.44,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,01,90.47,0.5,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,03,91.57,0.51,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,05,143.33,0.8,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,06,119.07,0.66,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,07,69.43,0.38,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,08,57.41,0.32,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,09,113.58,0.63,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,01,2.57,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,05,9.94,0.4,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,06,7.54,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,07,8.77,0.35,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,08,6.82,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,09,0.59,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,01,43.47,0.43,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,03,43.03,0.43,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,05,75.58,0.76,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,06,59.1,0.59,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,07,41.27,0.42,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,08,30.41,0.3,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,09,45.35,0.45,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,01,94.74,0.52,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,03,95.74,0.53,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,05,143.93,0.8,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,06,121.57,0.67,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,07,82.4,0.46,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,08,68.39,0.38,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,09,115.3,0.64,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,20,01,2.58,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,20,03,5.16,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,20,05,9.22,0.37,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,20,06,7.18,0.29,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,20,07,7.75,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,G,average,20,08,6.67,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,G,average,20,09,0.53,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,G,average,60,01,35.74,0.36,00_01_00_00
Farmer_Drought_Measure_Costs,G,average,60,03,35.58,0.36,00_03_00_00
Farmer_Drought_Measure_Costs,G,average,60,05,75.08,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,G,average,60,06,53.58,0.53,00_06_00_00
Farmer_Drought_Measure_Costs,G,average,60,07,25.59,0.26,00_07_00_00
