objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,20,09,35.72,0.83,00_09_00_00
Crop_Loss,D&Wp,average,60,00,200.28,1.0,00_00_00_00
Crop_Loss,D&Wp,average,60,01,123.46,0.62,00_01_00_00
Crop_Loss,D&Wp,average,60,03,121.27,0.61,00_03_00_00
Crop_Loss,D&Wp,average,60,05,67.25,0.34,00_05_00_00
Crop_Loss,D&Wp,average,60,06,82.44,0.41,00_06_00_00
Crop_Loss,D&Wp,average,60,07,59.54,0.3,00_07_00_00
Crop_Loss,D&Wp,average,60,08,75.94,0.38,00_08_00_00
Crop_Loss,D&Wp,average,60,09,115.7,0.58,00_09_00_00
Crop_Loss,D&Wp,average,100,00,396.19,1.0,00_00_00_00
Crop_Loss,D&Wp,average,100,01,189.92,0.48,00_01_00_00
Crop_Loss,D&Wp,average,100,03,189.06,0.48,00_03_00_00
Crop_Loss,D&Wp,average,100,05,111.41,0.28,00_05_00_00
Crop_Loss,D&Wp,average,100,06,111.42,0.28,00_06_00_00
Crop_Loss,D&Wp,average,100,07,95.81,0.24,00_07_00_00
Crop_Loss,D&Wp,average,100,08,138.1,0.35,00_08_00_00
Crop_Loss,D&Wp,average,100,09,172.32,0.44,00_09_00_00
Crop_Loss,G,average,20,00,34.95,0.97,00_00_00_00
Crop_Loss,G,average,20,01,35.89,1.0,00_01_00_00
Crop_Loss,G,average,20,03,33.44,0.93,00_03_00_00
Crop_Loss,G,average,20,05,29.46,0.82,00_05_00_00
Crop_Loss,G,average,20,06,30.64,0.85,00_06_00_00
Crop_Loss,G,average,20,07,23.03,0.64,00_07_00_00
Crop_Loss,G,average,20,08,23.4,0.65,00_08_00_00
Crop_Loss,G,average,20,09,30.38,0.85,00_09_00_00
Crop_Loss,G,average,60,00,137.05,1.0,00_00_00_00
Crop_Loss,G,average,60,01,99.05,0.73,00_01_00_00
Crop_Loss,G,average,60,03,96.79,0.71,00_03_00_00
Crop_Loss,G,average,60,05,56.46,0.41,00_05_00_00
Crop_Loss,G,average,60,06,72.67,0.53,00_06_00_00
Crop_Loss,G,average,60,07,50.31,0.37,00_07_00_00
Crop_Loss,G,average,60,08,56.46,0.41,00_08_00_00
Crop_Loss,G,average,60,09,93.51,0.69,00_09_00_00
Crop_Loss,G,average,100,00,230.55,0.99,00_00_00_00
