objective_parameter,scenario_of_interest,robustness_metric,year,drought_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,20,09,35.79,0.83,00_09_00_00
Crop_Loss,D&Wp,average,60,00,196.23,0.98,00_00_00_00
Crop_Loss,D&Wp,average,60,01,127.2,0.64,00_01_00_00
Crop_Loss,D&Wp,average,60,03,124.02,0.62,00_03_00_00
Crop_Loss,D&Wp,average,60,05,65.6,0.33,00_05_00_00
Crop_Loss,D&Wp,average,60,06,80.73,0.4,00_06_00_00
Crop_Loss,D&Wp,average,60,07,57.88,0.29,00_07_00_00
Crop_Loss,D&Wp,average,60,08,76.79,0.38,00_08_00_00
Crop_Loss,D&Wp,average,60,09,118.21,0.59,00_09_00_00
Crop_Loss,D&Wp,average,100,00,383.33,0.97,00_00_00_00
Crop_Loss,D&Wp,average,100,01,199.75,0.5,00_01_00_00
Crop_Loss,D&Wp,average,100,03,196.56,0.5,00_03_00_00
Crop_Loss,D&Wp,average,100,05,103.76,0.26,00_05_00_00
Crop_Loss,D&Wp,average,100,06,105.79,0.27,00_06_00_00
Crop_Loss,D&Wp,average,100,07,90.74,0.23,00_07_00_00
Crop_Loss,D&Wp,average,100,08,139.78,0.35,00_08_00_00
Crop_Loss,D&Wp,average,100,09,182.0,0.46,00_09_00_00
Crop_Loss,G,average,20,00,35.08,0.98,00_00_00_00
Crop_Loss,G,average,20,01,36.06,1.01,00_01_00_00
Crop_Loss,G,average,20,03,33.57,0.94,00_03_00_00
Crop_Loss,G,average,20,05,29.61,0.83,00_05_00_00
Crop_Loss,G,average,20,06,30.78,0.86,00_06_00_00
Crop_Loss,G,average,20,07,23.22,0.64,00_07_00_00
Crop_Loss,G,average,20,08,23.6,0.65,00_08_00_00
Crop_Loss,G,average,20,09,30.54,0.85,00_09_00_00
Crop_Loss,G,average,60,00,133.79,0.98,00_00_00_00
Crop_Loss,G,average,60,01,100.77,0.74,00_01_00_00
Crop_Loss,G,average,60,03,97.58,0.72,00_03_00_00
Crop_Loss,G,average,60,05,54.72,0.4,00_05_00_00
Crop_Loss,G,average,60,06,70.78,0.52,00_06_00_00
Crop_Loss,G,average,60,07,48.46,0.36,00_07_00_00
Crop_Loss,G,average,60,08,55.32,0.41,00_08_00_00
Crop_Loss,G,average,60,09,93.76,0.69,00_09_00_00
Crop_Loss,G,average,100,00,221.05,0.95,00_00_00_00
Crop_Loss,G,average,100,01,146.35,0.63,00_01_00_00
Crop_Loss,G,average,100,03,143.16,0.62,00_03_00_00
Crop_Loss,G,average,100,05,72.5,0.31,00_05_00_00
Crop_Loss,G,average,100,06,87.34,0.38,00_06_00_00
Crop_Loss,G,average,100,07,70.3,0.3,00_07_00_00
Crop_Loss,G,average,100,08,82.16,0.35,00_08_00_00
Crop_Loss,G,average,100,09,138.06,0.59,00_09_00_00
Crop_Loss,G&Wp,average,20,00,42.84,0.98,00_00_00_00
Crop_Loss,G&Wp,average,20,01,43.72,1.0,00_01_00_00
Crop_Loss,G&Wp,average,20,03,40.66,0.93,00_03_00_00
Crop_Loss,G&Wp,average,20,05,33.62,0.77,00_05_00_00
Crop_Loss,G&Wp,average,20,06,36.11,0.83,00_06_00_00
Crop_Loss,G&Wp,average,20,07,24.22,0.56,00_07_00_00
Crop_Loss,G&Wp,average,20,08,24.97,0.57,00_08_00_00
Crop_Loss,G&Wp,average,20,09,36.29,0.83,00_09_00_00
Crop_Loss,G&Wp,average,60,00,202.19,0.98,00_00_00_00
Crop_Loss,G&Wp,average,60,01,130.69,0.63,00_01_00_00
Crop_Loss,G&Wp,average,60,03,127.12,0.62,00_03_00_00
Crop_Loss,G&Wp,average,60,05,66.62,0.32,00_05_00_00
Crop_Loss,G&Wp,average,60,06,82.72,0.4,00_06_00_00
Crop_Loss,G&Wp,average,60,07,59.93,0.29,00_07_00_00
Crop_Loss,G&Wp,average,60,08,80.71,0.39,00_08_00_00
Crop_Loss,G&Wp,average,60,09,121.15,0.59,00_09_00_00
Crop_Loss,G&Wp,average,100,00,397.12,0.96,00_00_00_00
Crop_Loss,G&Wp,average,100,01,206.5,0.5,00_01_00_00
Crop_Loss,G&Wp,average,100,03,202.92,0.49,00_03_00_00
Crop_Loss,G&Wp,average,100,05,106.62,0.26,00_05_00_00
Crop_Loss,G&Wp,average,100,06,109.21,0.26,00_06_00_00
Crop_Loss,G&Wp,average,100,07,95.09,0.23,00_07_00_00
Crop_Loss,G&Wp,average,100,08,147.25,0.36,00_08_00_00
Crop_Loss,G&Wp,average,100,09,187.76,0.46,00_09_00_00
Crop_Loss,Wp,average,20,00,50.61,0.98,00_00_00_00
Crop_Loss,Wp,average,20,01,51.4,1.0,00_01_00_00
Crop_Loss,Wp,average,20,03,47.76,0.93,00_03_00_00
Crop_Loss,Wp,average,20,05,37.63,0.73,00_05_00_00
Crop_Loss,Wp,average,20,06,41.45,0.8,00_06_00_00
Crop_Loss,Wp,average,20,07,25.23,0.49,00_07_00_00
Crop_Loss,Wp,average,20,08,26.36,0.51,00_08_00_00
Crop_Loss,Wp,average,20,09,42.03,0.82,00_09_00_00
Crop_Loss,Wp,average,60,00,270.58,0.98,00_00_00_00
Crop_Loss,Wp,average,60,01,160.61,0.58,00_01_00_00
Crop_Loss,Wp,average,60,03,156.66,0.56,00_03_00_00
Crop_Loss,Wp,average,60,05,78.52,0.28,00_05_00_00
Crop_Loss,Wp,average,60,06,94.66,0.34,00_06_00_00
Crop_Loss,Wp,average,60,07,71.39,0.26,00_07_00_00
Crop_Loss,Wp,average,60,08,106.1,0.38,00_08_00_00
Crop_Loss,Wp,average,60,09,148.54,0.54,00_09_00_00
Crop_Loss,Wp,average,100,00,573.19,0.96,00_00_00_00
Crop_Loss,Wp,average,100,01,266.64,0.45,00_01_00_00
Crop_Loss,Wp,average,100,03,262.69,0.44,00_03_00_00
Crop_Loss,Wp,average,100,05,140.74,0.24,00_05_00_00
Crop_Loss,Wp,average,100,06,131.09,0.22,00_06_00_00
Crop_Loss,Wp,average,100,07,119.88,0.2,00_07_00_00
Crop_Loss,Wp,average,100,08,212.34,0.36,00_08_00_00
Crop_Loss,Wp,average,100,09,237.46,0.4,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,20,01,1.88,0.08,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,20,03,5.13,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,20,05,7.81,0.31,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,20,06,6.53,0.26,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,20,07,7.65,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,20,08,6.58,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,20,09,0.47,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,60,01,33.2,0.33,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,60,03,31.62,0.32,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,60,05,67.17,0.67,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,60,06,48.7,0.49,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,60,07,19.26,0.19,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,60,08,12.4,0.12,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,60,09,35.51,0.36,00_09_00_00
Farmer_Drought_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D,average,100,01,73.83,0.41,00_01_00_00
Farmer_Drought_Measure_Costs,D,average,100,03,72.25,0.4,00_03_00_00
Farmer_Drought_Measure_Costs,D,average,100,05,131.14,0.73,00_05_00_00
Farmer_Drought_Measure_Costs,D,average,100,06,105.44,0.59,00_06_00_00
Farmer_Drought_Measure_Costs,D,average,100,07,30.71,0.17,00_07_00_00
Farmer_Drought_Measure_Costs,D,average,100,08,18.21,0.1,00_08_00_00
Farmer_Drought_Measure_Costs,D,average,100,09,101.56,0.56,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,01,2.14,0.09,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,03,5.14,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,05,8.43,0.33,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,06,6.83,0.28,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,07,7.7,0.31,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,08,6.63,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,20,09,0.49,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,01,34.59,0.35,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,03,33.55,0.34,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,05,70.59,0.71,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,06,50.47,0.51,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,07,22.37,0.22,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,08,15.84,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,60,09,37.69,0.38,00_09_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,01,80.55,0.45,00_01_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,03,79.5,0.44,00_03_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,05,135.47,0.76,00_05_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,06,108.47,0.61,00_06_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,07,36.93,0.21,00_07_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,08,27.35,0.16,00_08_00_00
Farmer_Drought_Measure_Costs,D&G,average,100,09,106.07,0.59,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,01,2.44,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,05,9.54,0.38,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,06,7.35,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,07,8.34,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,08,6.76,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,20,09,0.56,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,01,40.76,0.41,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,03,39.92,0.4,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,05,74.42,0.74,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,06,56.19,0.56,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,07,34.38,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,08,26.05,0.26,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,60,09,42.72,0.43,00_09_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,01,93.55,0.52,00_01_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,03,92.71,0.51,00_03_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,05,141.08,0.78,00_05_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,06,116.73,0.65,00_06_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,07,66.58,0.37,00_07_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,08,55.87,0.31,00_08_00_00
Farmer_Drought_Measure_Costs,D&G&Wp,average,100,09,112.71,0.63,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,01,2.46,0.1,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,03,5.17,0.21,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,05,9.78,0.39,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,06,7.47,0.3,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,07,8.63,0.34,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,08,6.81,0.27,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,20,09,0.58,0.02,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,01,43.14,0.43,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,03,42.14,0.42,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,05,74.63,0.75,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,06,58.16,0.58,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,07,38.82,0.39,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,08,29.45,0.3,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,60,09,44.14,0.44,00_09_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,01,96.69,0.54,00_01_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,03,95.69,0.53,00_03_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,05,141.71,0.79,00_05_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,06,119.35,0.66,00_06_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,07,78.3,0.43,00_07_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,08,65.57,0.36,00_08_00_00
Farmer_Drought_Measure_Costs,D&Wp,average,100,09,113.78,0.64,00_09_00_00
Farmer_Drought_Measure_Costs,G,average,20,00,0.0,0.0,00_00_00_00
