objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,100,03,427.58,1.08,03_00_00_00
Crop_Loss,D&Wp,average,100,05,372.85,0.94,05_00_00_00
Crop_Loss,D&Wp,average,100,07,374.89,0.95,07_00_00_00
Crop_Loss,D&Wp,average,100,09,408.42,1.03,09_00_00_00
Crop_Loss,D&Wp,average,100,11,407.78,1.03,11_00_00_00
Crop_Loss,D&Wp,average,100,13,378.79,0.96,13_00_00_00
Crop_Loss,G,average,20,00,35.08,0.98,00_00_00_00
Crop_Loss,G,average,20,01,35.26,0.98,01_00_00_00
Crop_Loss,G,average,20,03,35.8,1.0,03_00_00_00
Crop_Loss,G,average,20,05,33.99,0.94,05_00_00_00
Crop_Loss,G,average,20,07,33.99,0.94,07_00_00_00
Crop_Loss,G,average,20,09,35.24,0.98,09_00_00_00
Crop_Loss,G,average,20,11,35.26,0.98,11_00_00_00
Crop_Loss,G,average,20,13,34.99,0.98,13_00_00_00
Crop_Loss,G,average,60,00,133.79,0.98,00_00_00_00
Crop_Loss,G,average,60,01,145.06,1.06,01_00_00_00
Crop_Loss,G,average,60,03,149.47,1.1,03_00_00_00
Crop_Loss,G,average,60,05,127.56,0.93,05_00_00_00
Crop_Loss,G,average,60,07,127.42,0.93,07_00_00_00
Crop_Loss,G,average,60,09,141.27,1.04,09_00_00_00
Crop_Loss,G,average,60,11,141.13,1.03,11_00_00_00
Crop_Loss,G,average,60,13,130.72,0.96,13_00_00_00
Crop_Loss,G,average,100,00,221.05,0.95,00_00_00_00
Crop_Loss,G,average,100,01,250.06,1.08,01_00_00_00
Crop_Loss,G,average,100,03,259.34,1.12,03_00_00_00
Crop_Loss,G,average,100,05,208.87,0.9,05_00_00_00
Crop_Loss,G,average,100,07,209.05,0.9,07_00_00_00
Crop_Loss,G,average,100,09,241.87,1.04,09_00_00_00
Crop_Loss,G,average,100,11,240.52,1.03,11_00_00_00
Crop_Loss,G,average,100,13,213.68,0.92,13_00_00_00
Crop_Loss,G&Wp,average,20,00,42.84,0.98,00_00_00_00
Crop_Loss,G&Wp,average,20,01,43.11,0.99,01_00_00_00
Crop_Loss,G&Wp,average,20,03,43.5,0.99,03_00_00_00
Crop_Loss,G&Wp,average,20,05,42.1,0.96,05_00_00_00
Crop_Loss,G&Wp,average,20,07,42.1,0.96,07_00_00_00
Crop_Loss,G&Wp,average,20,09,43.02,0.99,09_00_00_00
Crop_Loss,G&Wp,average,20,11,43.11,0.99,11_00_00_00
Crop_Loss,G&Wp,average,20,13,42.77,0.98,13_00_00_00
Crop_Loss,G&Wp,average,60,00,202.19,0.98,00_00_00_00
Crop_Loss,G&Wp,average,60,01,215.98,1.05,01_00_00_00
Crop_Loss,G&Wp,average,60,03,220.53,1.07,03_00_00_00
Crop_Loss,G&Wp,average,60,05,195.34,0.94,05_00_00_00
Crop_Loss,G&Wp,average,60,07,196.07,0.95,07_00_00_00
Crop_Loss,G&Wp,average,60,09,211.42,1.02,09_00_00_00
Crop_Loss,G&Wp,average,60,11,211.99,1.03,11_00_00_00
Crop_Loss,G&Wp,average,60,13,198.46,0.96,13_00_00_00
Crop_Loss,G&Wp,average,100,00,397.12,0.96,00_00_00_00
Crop_Loss,G&Wp,average,100,01,432.95,1.05,01_00_00_00
Crop_Loss,G&Wp,average,100,03,442.11,1.07,03_00_00_00
Crop_Loss,G&Wp,average,100,05,385.18,0.93,05_00_00_00
Crop_Loss,G&Wp,average,100,07,387.26,0.94,07_00_00_00
Crop_Loss,G&Wp,average,100,09,424.36,1.03,09_00_00_00
Crop_Loss,G&Wp,average,100,11,423.94,1.03,11_00_00_00
Crop_Loss,G&Wp,average,100,13,390.49,0.94,13_00_00_00
Crop_Loss,Wp,average,20,00,50.61,0.98,00_00_00_00
Crop_Loss,Wp,average,20,01,50.95,0.99,01_00_00_00
Crop_Loss,Wp,average,20,03,51.21,1.0,03_00_00_00
Crop_Loss,Wp,average,20,05,50.2,0.98,05_00_00_00
Crop_Loss,Wp,average,20,07,50.2,0.98,07_00_00_00
Crop_Loss,Wp,average,20,09,50.79,0.99,09_00_00_00
Crop_Loss,Wp,average,20,11,50.95,0.99,11_00_00_00
Crop_Loss,Wp,average,20,13,50.56,0.98,13_00_00_00
Crop_Loss,Wp,average,60,00,270.58,0.98,00_00_00_00
Crop_Loss,Wp,average,60,01,286.91,1.04,01_00_00_00
Crop_Loss,Wp,average,60,03,291.59,1.06,03_00_00_00
Crop_Loss,Wp,average,60,05,263.13,0.95,05_00_00_00
Crop_Loss,Wp,average,60,07,264.72,0.96,07_00_00_00
Crop_Loss,Wp,average,60,09,281.57,1.02,09_00_00_00
Crop_Loss,Wp,average,60,11,282.85,1.02,11_00_00_00
Crop_Loss,Wp,average,60,13,266.2,0.96,13_00_00_00
Crop_Loss,Wp,average,100,00,573.19,0.96,00_00_00_00
Crop_Loss,Wp,average,100,01,615.84,1.04,01_00_00_00
Crop_Loss,Wp,average,100,03,624.88,1.05,03_00_00_00
Crop_Loss,Wp,average,100,05,561.49,0.94,05_00_00_00
Crop_Loss,Wp,average,100,07,565.47,0.95,07_00_00_00
Crop_Loss,Wp,average,100,09,606.86,1.02,09_00_00_00
Crop_Loss,Wp,average,100,11,607.36,1.02,11_00_00_00
Crop_Loss,Wp,average,100,13,567.3,0.96,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,01,0.04,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,03,0.02,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,09,2.5,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,11,0.04,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,20,13,0.45,0.0,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,01,8.12,0.02,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,03,7.55,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,05,94.12,0.27,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,07,94.15,0.26,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,09,58.38,0.17,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,11,14.26,0.04,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,60,13,45.48,0.13,13_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,01,9.92,0.02,01_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,03,8.68,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,05,109.3,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,07,112.1,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,09,144.94,0.29,09_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,11,51.82,0.11,11_00_00_00
Farmer_Flood_Measure_Costs,D,average,100,13,70.24,0.14,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,03,0.03,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,09,2.76,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,20,13,0.48,0.01,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,01,10.27,0.03,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,03,9.01,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,05,94.12,0.27,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,07,94.15,0.26,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,09,59.55,0.17,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,11,19.63,0.05,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,60,13,49.96,0.14,13_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,01,13.68,0.03,01_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,03,11.6,0.02,03_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,05,107.38,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,07,109.44,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,09,147.5,0.3,09_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,11,62.84,0.13,11_00_00_00
Farmer_Flood_Measure_Costs,D&G,average,100,13,76.38,0.15,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,01,0.05,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,03,0.02,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,09,2.6,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,11,0.05,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,20,13,0.46,0.0,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,01,15.15,0.04,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,03,14.18,0.04,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,05,98.79,0.28,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,07,100.1,0.28,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,09,61.68,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,11,24.03,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,60,13,57.06,0.16,13_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,01,26.31,0.05,01_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,03,22.69,0.04,03_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,05,109.29,0.22,05_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,07,110.41,0.22,07_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,09,155.31,0.31,09_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,11,79.27,0.16,11_00_00_00
Farmer_Flood_Measure_Costs,D&G&Wp,average,100,13,84.97,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,01,0.04,0.0,01_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,03,0.02,0.0,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,05,21.0,0.14,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,07,26.62,0.18,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,09,2.4,0.02,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,11,0.04,0.0,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,20,13,0.44,0.0,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,01,16.51,0.05,01_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,03,16.03,0.05,03_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,05,101.12,0.29,05_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,07,103.07,0.3,07_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,09,62.17,0.18,09_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,11,23.55,0.07,11_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,60,13,58.37,0.17,13_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,00,0.0,0.0,00_00_00_00
Farmer_Flood_Measure_Costs,D&Wp,average,100,01,30.75,0.06,01_00_00_00
