objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Farmer_Flood_Costs_[MEUR],05_00_01_04,D&Wp,average,20,40.0,0.22,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,D&Wp,average,60,130.0,0.37,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,D&Wp,average,100,150.0,0.28,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G,average,20,40.0,0.22,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G,average,60,120.0,0.34,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G,average,100,140.0,0.26,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G&Wp,average,20,40.0,0.22,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G&Wp,average,60,130.0,0.37,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,G&Wp,average,100,140.0,0.27,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,Wp,average,20,40.0,0.22,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,Wp,average,60,150.0,0.4,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_04,Wp,average,100,150.0,0.28,5,0,1,4
Farmer_Flood_Costs_[MEUR],05_00_01_05,D,average,20,40.0,0.22,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D,average,60,120.0,0.34,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D,average,100,150.0,0.29,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G,average,20,40.0,0.22,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G,average,60,120.0,0.34,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G,average,100,140.0,0.28,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G&Wp,average,20,40.0,0.22,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G&Wp,average,60,130.0,0.36,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&G&Wp,average,100,140.0,0.28,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&Wp,average,20,40.0,0.22,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&Wp,average,60,130.0,0.37,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,D&Wp,average,100,150.0,0.28,5,0,1,5
Farmer_Flood_Costs_[MEUR],05_00_01_05,G,average,20,40.0,0.22,5,0,1,5
