objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Delayed_Ships_[#],D&Wp,average,60,1,320.0,0.49,00_00_00_01
Delayed_Ships_[#],D&Wp,average,60,2,470.0,0.72,00_00_00_02
Delayed_Ships_[#],D&Wp,average,60,4,430.0,0.67,00_00_00_04
Delayed_Ships_[#],D&Wp,average,60,5,340.0,0.52,00_00_00_05
Delayed_Ships_[#],D&Wp,average,60,7,190.0,0.29,00_00_00_07
Delayed_Ships_[#],D&Wp,average,60,8,190.0,0.29,00_00_00_08
Delayed_Ships_[#],D&Wp,average,60,9,190.0,0.29,00_00_00_09
Delayed_Ships_[#],D&Wp,average,100,0,1150.0,1.0,00_00_00_00
Delayed_Ships_[#],D&Wp,average,100,1,470.0,0.41,00_00_00_01
Delayed_Ships_[#],D&Wp,average,100,2,690.0,0.6,00_00_00_02
Delayed_Ships_[#],D&Wp,average,100,4,670.0,0.58,00_00_00_04
Delayed_Ships_[#],D&Wp,average,100,5,510.0,0.44,00_00_00_05
Delayed_Ships_[#],D&Wp,average,100,7,320.0,0.27,00_00_00_07
Delayed_Ships_[#],D&Wp,average,100,8,320.0,0.27,00_00_00_08
Delayed_Ships_[#],D&Wp,average,100,9,320.0,0.27,00_00_00_09
Delayed_Ships_[#],G,average,20,0,220.0,1.0,00_00_00_00
Delayed_Ships_[#],G,average,20,1,180.0,0.8,00_00_00_01
Delayed_Ships_[#],G,average,20,2,200.0,0.87,00_00_00_02
Delayed_Ships_[#],G,average,20,4,130.0,0.59,00_00_00_04
Delayed_Ships_[#],G,average,20,5,130.0,0.59,00_00_00_05
Delayed_Ships_[#],G,average,20,7,110.0,0.47,00_00_00_07
Delayed_Ships_[#],G,average,20,8,110.0,0.47,00_00_00_08
Delayed_Ships_[#],G,average,20,9,110.0,0.47,00_00_00_09
Delayed_Ships_[#],G,average,60,0,540.0,1.0,00_00_00_00
Delayed_Ships_[#],G,average,60,1,320.0,0.58,00_00_00_01
Delayed_Ships_[#],G,average,60,2,470.0,0.86,00_00_00_02
Delayed_Ships_[#],G,average,60,4,440.0,0.81,00_00_00_04
Delayed_Ships_[#],G,average,60,5,400.0,0.73,00_00_00_05
Delayed_Ships_[#],G,average,60,7,160.0,0.29,00_00_00_07
Delayed_Ships_[#],G,average,60,8,160.0,0.29,00_00_00_08
Delayed_Ships_[#],G,average,60,9,160.0,0.29,00_00_00_09
Delayed_Ships_[#],G,average,100,0,840.0,1.0,00_00_00_00
Delayed_Ships_[#],G,average,100,1,440.0,0.53,00_00_00_01
Delayed_Ships_[#],G,average,100,2,720.0,0.86,00_00_00_02
Delayed_Ships_[#],G,average,100,4,720.0,0.86,00_00_00_04
Delayed_Ships_[#],G,average,100,5,590.0,0.7,00_00_00_05
Delayed_Ships_[#],G,average,100,7,200.0,0.24,00_00_00_07
Delayed_Ships_[#],G,average,100,8,200.0,0.24,00_00_00_08
Delayed_Ships_[#],G,average,100,9,200.0,0.24,00_00_00_09
Delayed_Ships_[#],G&Wp,average,20,0,230.0,1.0,00_00_00_00
Delayed_Ships_[#],G&Wp,average,20,1,180.0,0.79,00_00_00_01
Delayed_Ships_[#],G&Wp,average,20,2,200.0,0.86,00_00_00_02
Delayed_Ships_[#],G&Wp,average,20,4,140.0,0.58,00_00_00_04
