objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D&G&Wp,average,100,1,20.0,0.53,01_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,3,30.0,0.57,03_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,5,20.0,0.4,05_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,7,20.0,0.39,07_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,9,20.0,0.56,09_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,11,20.0,0.49,11_00_00_00
Crop_Productivity_Loss_[%],D&G&Wp,average,100,13,20.0,0.43,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,0,20.0,0.83,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,1,20.0,0.84,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,3,20.0,0.86,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,5,20.0,0.8,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,7,20.0,0.8,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,9,20.0,0.83,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,11,20.0,0.84,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,13,20.0,0.83,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,0,20.0,0.55,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,1,20.0,0.57,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,3,30.0,0.62,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,5,20.0,0.48,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,7,20.0,0.48,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,9,30.0,0.59,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,11,20.0,0.54,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,13,20.0,0.51,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,0,30.0,0.49,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,1,30.0,0.49,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,3,30.0,0.53,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,5,20.0,0.39,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,7,20.0,0.38,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,9,30.0,0.52,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,11,20.0,0.47,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,13,20.0,0.42,13_00_00_00
