objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],D&Wp,average,20,1,20.0,0.81,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,3,20.0,0.83,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,5,20.0,0.79,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,7,20.0,0.79,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,9,20.0,0.81,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,11,20.0,0.81,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,20,13,20.0,0.81,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,0,20.0,0.53,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,1,20.0,0.54,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,3,30.0,0.59,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,5,20.0,0.49,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,7,20.0,0.49,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,9,20.0,0.56,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,11,20.0,0.52,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,60,13,20.0,0.51,13_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,0,20.0,0.44,00_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,1,20.0,0.46,01_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,3,30.0,0.51,03_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,5,20.0,0.4,05_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,7,20.0,0.4,07_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,9,20.0,0.49,09_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,11,20.0,0.43,11_00_00_00
Crop_Productivity_Loss_[%],D&Wp,average,100,13,20.0,0.42,13_00_00_00
Crop_Productivity_Loss_[%],G,average,20,0,20.0,0.84,00_00_00_00
Crop_Productivity_Loss_[%],G,average,20,1,20.0,0.85,01_00_00_00
Crop_Productivity_Loss_[%],G,average,20,3,20.0,0.86,03_00_00_00
Crop_Productivity_Loss_[%],G,average,20,5,20.0,0.81,05_00_00_00
Crop_Productivity_Loss_[%],G,average,20,7,20.0,0.81,07_00_00_00
Crop_Productivity_Loss_[%],G,average,20,9,20.0,0.85,09_00_00_00
Crop_Productivity_Loss_[%],G,average,20,11,20.0,0.85,11_00_00_00
Crop_Productivity_Loss_[%],G,average,20,13,20.0,0.84,13_00_00_00
Crop_Productivity_Loss_[%],G,average,60,0,20.0,0.6,00_00_00_00
Crop_Productivity_Loss_[%],G,average,60,1,20.0,0.63,01_00_00_00
Crop_Productivity_Loss_[%],G,average,60,3,20.0,0.7,03_00_00_00
Crop_Productivity_Loss_[%],G,average,60,5,20.0,0.55,05_00_00_00
Crop_Productivity_Loss_[%],G,average,60,7,20.0,0.54,07_00_00_00
Crop_Productivity_Loss_[%],G,average,60,9,20.0,0.65,09_00_00_00
Crop_Productivity_Loss_[%],G,average,60,11,20.0,0.6,11_00_00_00
Crop_Productivity_Loss_[%],G,average,60,13,20.0,0.58,13_00_00_00
Crop_Productivity_Loss_[%],G,average,100,0,20.0,0.52,00_00_00_00
Crop_Productivity_Loss_[%],G,average,100,1,20.0,0.56,01_00_00_00
Crop_Productivity_Loss_[%],G,average,100,3,20.0,0.65,03_00_00_00
Crop_Productivity_Loss_[%],G,average,100,5,20.0,0.45,05_00_00_00
Crop_Productivity_Loss_[%],G,average,100,7,20.0,0.44,07_00_00_00
Crop_Productivity_Loss_[%],G,average,100,9,20.0,0.6,09_00_00_00
Crop_Productivity_Loss_[%],G,average,100,11,20.0,0.52,11_00_00_00
Crop_Productivity_Loss_[%],G,average,100,13,20.0,0.48,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,0,20.0,0.81,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,1,20.0,0.81,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,3,20.0,0.83,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,5,20.0,0.78,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,7,20.0,0.78,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,9,20.0,0.81,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,11,20.0,0.81,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,20,13,20.0,0.81,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,0,20.0,0.53,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,1,20.0,0.54,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,3,30.0,0.59,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,5,20.0,0.48,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,7,20.0,0.48,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,9,30.0,0.56,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,11,20.0,0.52,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,60,13,20.0,0.5,13_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,0,20.0,0.44,00_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,1,20.0,0.46,01_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,3,30.0,0.5,03_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,5,20.0,0.39,05_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,7,20.0,0.39,07_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,9,30.0,0.48,09_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,11,20.0,0.43,11_00_00_00
Crop_Productivity_Loss_[%],G&Wp,average,100,13,20.0,0.41,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,0,30.0,0.78,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,1,30.0,0.79,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,3,30.0,0.8,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,5,30.0,0.77,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,7,30.0,0.77,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,9,30.0,0.79,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,11,30.0,0.79,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,20,13,30.0,0.78,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,0,30.0,0.49,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,1,30.0,0.5,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,3,30.0,0.53,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,5,30.0,0.45,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,7,30.0,0.45,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,9,30.0,0.52,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,11,30.0,0.48,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,60,13,30.0,0.47,13_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,0,30.0,0.41,00_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,1,30.0,0.41,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,3,30.0,0.44,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,5,30.0,0.37,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,7,30.0,0.37,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,9,30.0,0.44,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,11,30.0,0.4,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,13,30.0,0.39,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,5,30.0,0.14,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,7,30.0,0.18,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,9,10.0,0.02,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,13,10.0,0.0,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,1,10.0,0.02,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,3,10.0,0.02,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,5,100.0,0.27,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,7,100.0,0.26,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,9,60.0,0.17,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,11,20.0,0.04,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,13,50.0,0.13,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,1,10.0,0.02,01_00_00_00
