objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Productivity_Loss_[%],Wp,average,100,1,70.0,1.08,01_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,3,70.0,1.09,03_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,5,60.0,0.94,05_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,7,60.0,0.95,07_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,9,70.0,1.08,09_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,11,70.0,1.07,11_00_00_00
Crop_Productivity_Loss_[%],Wp,average,100,13,60.0,0.96,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,9,10.0,0.03,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,20,13,10.0,0.0,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,1,20.0,0.04,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,5,120.0,0.34,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,7,120.0,0.32,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,9,90.0,0.24,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,11,30.0,0.07,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,60,13,80.0,0.23,13_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,1,20.0,0.03,01_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,3,20.0,0.03,03_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,5,150.0,0.28,05_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,9,210.0,0.41,09_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,11,120.0,0.22,11_00_00_00
Farmer_Flood_Costs_[MEUR],D,average,100,13,140.0,0.27,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,9,10.0,0.04,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,1,30.0,0.07,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,3,20.0,0.05,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,5,120.0,0.34,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,7,120.0,0.32,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,9,90.0,0.24,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,11,40.0,0.1,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,60,13,80.0,0.23,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,1,40.0,0.08,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,3,40.0,0.06,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,5,150.0,0.28,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,9,230.0,0.45,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,11,160.0,0.3,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G,average,100,13,150.0,0.29,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,9,10.0,0.03,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,20,13,10.0,0.0,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,1,40.0,0.09,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,3,30.0,0.08,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,5,130.0,0.36,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,7,130.0,0.35,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,9,100.0,0.27,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,11,50.0,0.13,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,60,13,90.0,0.25,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,1,70.0,0.14,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,3,70.0,0.13,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,5,150.0,0.29,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,9,270.0,0.53,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,11,210.0,0.42,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&G&Wp,average,100,13,160.0,0.31,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,9,10.0,0.03,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,20,13,10.0,0.0,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,1,30.0,0.08,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,3,30.0,0.08,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,5,130.0,0.37,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,7,130.0,0.37,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,9,100.0,0.28,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,11,50.0,0.13,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,60,13,100.0,0.27,13_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,1,80.0,0.15,01_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,3,80.0,0.14,03_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,5,150.0,0.29,05_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,9,280.0,0.55,09_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,11,220.0,0.44,11_00_00_00
Farmer_Flood_Costs_[MEUR],D&Wp,average,100,13,150.0,0.3,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,9,10.0,0.04,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,1,40.0,0.1,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,3,30.0,0.07,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,5,120.0,0.34,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,7,120.0,0.32,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,9,90.0,0.25,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,11,50.0,0.14,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,60,13,80.0,0.23,13_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,1,70.0,0.13,01_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,3,50.0,0.1,03_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,5,150.0,0.28,05_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,7,150.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,9,250.0,0.48,09_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,11,200.0,0.38,11_00_00_00
Farmer_Flood_Costs_[MEUR],G,average,100,13,170.0,0.32,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,1,10.0,0.0,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,3,10.0,0.0,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,5,40.0,0.22,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,7,50.0,0.28,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,9,10.0,0.04,09_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,11,10.0,0.0,11_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,20,13,10.0,0.01,13_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,0,0.0,0.0,00_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,1,50.0,0.12,01_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,3,40.0,0.1,03_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,5,130.0,0.37,05_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,7,130.0,0.37,07_00_00_00
Farmer_Flood_Costs_[MEUR],G&Wp,average,60,9,100.0,0.28,09_00_00_00
