objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Crop_Productivity_Loss_[%],09_09_13_07,D&G,average,60,20.0,0.82,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&G,average,100,20.0,0.85,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&G&Wp,average,20,20.0,0.87,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&G&Wp,average,60,30.0,0.72,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&G&Wp,average,100,30.0,0.65,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&Wp,average,20,20.0,0.86,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&Wp,average,60,30.0,0.68,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,D&Wp,average,100,30.0,0.6,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G,average,20,20.0,0.88,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G,average,60,20.0,0.82,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G,average,100,20.0,0.82,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G&Wp,average,20,20.0,0.86,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G&Wp,average,60,30.0,0.68,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,G&Wp,average,100,30.0,0.59,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,Wp,average,20,30.0,0.84,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,Wp,average,60,30.0,0.62,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_07,Wp,average,100,40.0,0.5,9,9,13,7
Crop_Productivity_Loss_[%],09_09_13_08,D,average,20,20.0,0.89,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D,average,60,20.0,0.83,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D,average,100,20.0,0.89,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G,average,20,20.0,0.89,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G,average,60,20.0,0.82,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G,average,100,20.0,0.85,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G&Wp,average,20,20.0,0.87,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G&Wp,average,60,30.0,0.72,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&G&Wp,average,100,30.0,0.65,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&Wp,average,20,20.0,0.86,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&Wp,average,60,30.0,0.68,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,D&Wp,average,100,30.0,0.6,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G,average,20,20.0,0.88,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G,average,60,20.0,0.82,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G,average,100,20.0,0.82,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G&Wp,average,20,20.0,0.86,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G&Wp,average,60,30.0,0.68,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,G&Wp,average,100,30.0,0.59,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,Wp,average,20,30.0,0.84,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,Wp,average,60,30.0,0.61,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_08,Wp,average,100,40.0,0.5,9,9,13,8
Crop_Productivity_Loss_[%],09_09_13_09,D,average,20,20.0,0.89,9,9,13,9
Crop_Productivity_Loss_[%],09_09_13_09,D,average,60,20.0,0.83,9,9,13,9
Crop_Productivity_Loss_[%],09_09_13_09,D,average,100,20.0,0.89,9,9,13,9
Crop_Productivity_Loss_[%],09_09_13_09,D&G,average,20,20.0,0.89,9,9,13,9
Crop_Productivity_Loss_[%],09_09_13_09,D&G,average,60,20.0,0.82,9,9,13,9
