objective_parameter,pw_combi,scenario_of_interest,robustness_metric,year,Value,normalized_values,flood_agr,drought_agr,flood_urb,drought_shp
Farmer_Flood_Measure_Costs,09_00_07_00,D&G,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&G,average,60,33.53,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&G,average,100,87.37,0.17,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&G&Wp,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&G&Wp,average,60,34.14,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&G&Wp,average,100,87.98,0.18,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&Wp,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&Wp,average,60,34.37,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,D&Wp,average,100,88.21,0.18,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G,average,60,33.7,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G,average,100,87.54,0.18,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G&Wp,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G&Wp,average,60,34.54,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,G&Wp,average,100,88.38,0.18,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,Wp,average,20,0.0,0.0,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,Wp,average,60,35.38,0.1,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_07_00,Wp,average,100,89.22,0.18,09,00,07,00
Farmer_Flood_Measure_Costs,09_00_09_00,D,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D,average,60,33.36,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D,average,100,87.2,0.17,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G,average,60,33.53,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G,average,100,87.37,0.17,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G&Wp,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G&Wp,average,60,34.14,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&G&Wp,average,100,89.92,0.18,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&Wp,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&Wp,average,60,34.37,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,D&Wp,average,100,91.11,0.18,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G,average,60,33.7,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G,average,100,87.54,0.18,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G&Wp,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G&Wp,average,60,34.54,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,G&Wp,average,100,91.28,0.18,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,Wp,average,20,0.0,0.0,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,Wp,average,60,35.38,0.1,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_09_00,Wp,average,100,95.03,0.19,09,00,09,00
Farmer_Flood_Measure_Costs,09_00_11_00,D,average,20,0.04,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D,average,60,33.78,0.1,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D,average,100,88.73,0.18,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G,average,20,0.05,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G,average,60,39.64,0.11,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G,average,100,94.56,0.19,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G&Wp,average,20,0.04,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G&Wp,average,60,42.35,0.12,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&G&Wp,average,100,101.46,0.2,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&Wp,average,20,0.04,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&Wp,average,60,40.78,0.12,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,D&Wp,average,100,101.99,0.2,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G,average,20,0.05,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G,average,60,45.49,0.13,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G,average,100,100.4,0.2,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G&Wp,average,20,0.04,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G&Wp,average,60,46.63,0.13,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,G&Wp,average,100,107.83,0.22,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,Wp,average,20,0.04,0.0,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,Wp,average,60,47.78,0.14,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_11_00,Wp,average,100,115.26,0.23,09,00,11,00
Farmer_Flood_Measure_Costs,09_00_13_00,D,average,20,5.0,0.03,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D,average,60,78.76,0.23,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D,average,100,173.18,0.35,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G,average,20,5.51,0.04,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G,average,60,79.48,0.23,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G,average,100,173.92,0.35,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G&Wp,average,20,5.08,0.03,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G&Wp,average,60,75.33,0.22,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&G&Wp,average,100,165.54,0.33,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&Wp,average,20,4.62,0.03,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&Wp,average,60,72.91,0.21,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,D&Wp,average,100,160.98,0.32,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,G,average,20,6.01,0.04,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,G,average,60,80.19,0.23,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,G,average,100,174.66,0.35,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,G&Wp,average,20,5.13,0.03,09,00,13,00
Farmer_Flood_Measure_Costs,09_00_13_00,G&Wp,average,60,73.62,0.21,09,00,13,00
