objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D&Wp,average,20,07,1050.42,0.46,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,20,08,1050.42,0.46,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,20,09,1050.42,0.46,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,60,00,6380.12,1.0,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,60,01,3149.69,0.49,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,60,02,4619.48,0.72,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,60,04,4259.05,0.67,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,60,05,3358.56,0.53,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,60,07,1877.01,0.29,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,60,08,1877.01,0.29,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,60,09,1877.01,0.29,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,100,00,11411.45,1.0,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,100,01,4697.58,0.41,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,100,02,6878.6,0.6,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,100,04,6616.64,0.58,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,100,05,5161.38,0.45,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,100,07,3127.2,0.27,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,100,08,3127.2,0.27,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,100,09,3127.2,0.27,00_00_00_09
Shipping_Economic_Loss,G,average,20,00,2192.94,1.0,00_00_00_00
Shipping_Economic_Loss,G,average,20,01,1758.38,0.8,00_00_00_01
Shipping_Economic_Loss,G,average,20,02,1902.97,0.87,00_00_00_02
Shipping_Economic_Loss,G,average,20,04,1287.38,0.59,00_00_00_04
Shipping_Economic_Loss,G,average,20,05,1287.38,0.59,00_00_00_05
Shipping_Economic_Loss,G,average,20,07,1025.17,0.47,00_00_00_07
Shipping_Economic_Loss,G,average,20,08,1025.17,0.47,00_00_00_08
Shipping_Economic_Loss,G,average,20,09,1025.17,0.47,00_00_00_09
Shipping_Economic_Loss,G,average,60,00,5394.34,1.0,00_00_00_00
Shipping_Economic_Loss,G,average,60,01,3141.42,0.58,00_00_00_01
Shipping_Economic_Loss,G,average,60,02,4624.16,0.86,00_00_00_02
Shipping_Economic_Loss,G,average,60,04,4392.5,0.81,00_00_00_04
Shipping_Economic_Loss,G,average,60,05,3949.2,0.73,00_00_00_05
Shipping_Economic_Loss,G,average,60,07,1540.76,0.29,00_00_00_07
Shipping_Economic_Loss,G,average,60,08,1540.76,0.29,00_00_00_08
Shipping_Economic_Loss,G,average,60,09,1540.76,0.29,00_00_00_09
Shipping_Economic_Loss,G,average,100,00,8359.48,1.0,00_00_00_00
Shipping_Economic_Loss,G,average,100,01,4392.94,0.53,00_00_00_01
Shipping_Economic_Loss,G,average,100,02,7144.53,0.85,00_00_00_02
Shipping_Economic_Loss,G,average,100,04,7174.5,0.86,00_00_00_04
Shipping_Economic_Loss,G,average,100,05,5888.89,0.7,00_00_00_05
Shipping_Economic_Loss,G,average,100,07,1991.6,0.24,00_00_00_07
Shipping_Economic_Loss,G,average,100,08,1991.6,0.24,00_00_00_08
Shipping_Economic_Loss,G,average,100,09,1991.6,0.24,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,20,00,2283.14,1.0,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,20,01,1797.94,0.79,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,20,02,1968.03,0.86,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,20,04,1325.78,0.58,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,20,05,1325.78,0.58,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,20,07,1045.0,0.46,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,20,08,1045.0,0.46,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,20,09,1045.0,0.46,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,60,00,6261.28,1.0,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,60,01,3094.58,0.49,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,60,02,4519.07,0.72,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,60,04,4208.62,0.67,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,60,05,3591.8,0.57,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,60,07,1842.66,0.29,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,60,08,1842.66,0.29,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,60,09,1842.66,0.29,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,100,00,11089.17,1.0,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,100,01,4546.35,0.41,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,100,02,6605.27,0.6,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,100,04,6425.63,0.58,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,100,05,5533.42,0.5,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,100,07,3039.86,0.27,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,100,08,3039.86,0.27,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,100,09,3039.86,0.27,00_00_00_09
Shipping_Economic_Loss,Wp,average,20,00,2373.34,1.0,00_00_00_00
Shipping_Economic_Loss,Wp,average,20,01,1837.51,0.77,00_00_00_01
Shipping_Economic_Loss,Wp,average,20,02,2033.08,0.86,00_00_00_02
Shipping_Economic_Loss,Wp,average,20,04,1364.18,0.57,00_00_00_04
Shipping_Economic_Loss,Wp,average,20,05,1364.18,0.57,00_00_00_05
Shipping_Economic_Loss,Wp,average,20,07,1064.84,0.45,00_00_00_07
Shipping_Economic_Loss,Wp,average,20,08,1064.84,0.45,00_00_00_08
Shipping_Economic_Loss,Wp,average,20,09,1064.84,0.45,00_00_00_09
Shipping_Economic_Loss,Wp,average,60,00,7128.22,1.0,00_00_00_00
Shipping_Economic_Loss,Wp,average,60,01,3047.73,0.43,00_00_00_01
Shipping_Economic_Loss,Wp,average,60,02,4413.98,0.62,00_00_00_02
Shipping_Economic_Loss,Wp,average,60,04,4024.74,0.56,00_00_00_04
Shipping_Economic_Loss,Wp,average,60,05,3234.39,0.45,00_00_00_05
Shipping_Economic_Loss,Wp,average,60,07,2144.57,0.3,00_00_00_07
Shipping_Economic_Loss,Wp,average,60,08,2144.57,0.3,00_00_00_08
Shipping_Economic_Loss,Wp,average,60,09,2144.57,0.3,00_00_00_09
Shipping_Economic_Loss,Wp,average,100,00,13818.86,1.0,00_00_00_00
Shipping_Economic_Loss,Wp,average,100,01,4699.76,0.34,00_00_00_01
Shipping_Economic_Loss,Wp,average,100,02,6066.01,0.44,00_00_00_02
Shipping_Economic_Loss,Wp,average,100,04,5676.76,0.41,00_00_00_04
Shipping_Economic_Loss,Wp,average,100,05,5177.96,0.37,00_00_00_05
Shipping_Economic_Loss,Wp,average,100,07,4088.13,0.3,00_00_00_07
Shipping_Economic_Loss,Wp,average,100,08,4088.13,0.3,00_00_00_08
Shipping_Economic_Loss,Wp,average,100,09,4088.13,0.3,00_00_00_09
Shipping_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,20,01,545.88,0.42,00_00_00_01
Shipping_Measure_Costs,D,average,20,02,16.22,0.01,00_00_00_02
Shipping_Measure_Costs,D,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,60,01,1088.6,0.51,00_00_00_01
Shipping_Measure_Costs,D,average,60,02,87.69,0.04,00_00_00_02
Shipping_Measure_Costs,D,average,60,04,147.82,0.07,00_00_00_04
Shipping_Measure_Costs,D,average,60,05,1028.87,0.48,00_00_00_05
Shipping_Measure_Costs,D,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,100,01,1545.95,0.47,00_00_00_01
Shipping_Measure_Costs,D,average,100,02,160.17,0.05,00_00_00_02
Shipping_Measure_Costs,D,average,100,04,255.82,0.08,00_00_00_04
Shipping_Measure_Costs,D,average,100,05,1575.03,0.48,00_00_00_05
Shipping_Measure_Costs,D,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,20,01,545.88,0.42,00_00_00_01
Shipping_Measure_Costs,D&G,average,20,02,16.22,0.01,00_00_00_02
Shipping_Measure_Costs,D&G,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D&G,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D&G,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D&G,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D&G,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,60,01,1087.67,0.51,00_00_00_01
Shipping_Measure_Costs,D&G,average,60,02,87.57,0.04,00_00_00_02
Shipping_Measure_Costs,D&G,average,60,04,146.27,0.07,00_00_00_04
Shipping_Measure_Costs,D&G,average,60,05,803.41,0.37,00_00_00_05
Shipping_Measure_Costs,D&G,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D&G,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D&G,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,100,01,1545.02,0.47,00_00_00_01
Shipping_Measure_Costs,D&G,average,100,02,160.05,0.05,00_00_00_02
Shipping_Measure_Costs,D&G,average,100,04,253.09,0.08,00_00_00_04
Shipping_Measure_Costs,D&G,average,100,05,1319.88,0.4,00_00_00_05
Shipping_Measure_Costs,D&G,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D&G,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D&G,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,20,01,580.57,0.45,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,20,02,16.78,0.01,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,20,04,41.5,0.03,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,20,05,41.5,0.03,00_00_00_05
