objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D&Wp,average,20,07,1058.04,0.46,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,20,08,1058.04,0.46,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,20,09,1058.04,0.46,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,60,00,6600.09,1.03,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,60,01,3165.47,0.49,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,60,02,4611.17,0.72,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,60,04,4265.25,0.67,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,60,05,3352.96,0.53,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,60,07,1956.19,0.3,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,60,08,1956.19,0.3,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,60,09,1956.19,0.3,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,100,00,12001.42,1.05,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,100,01,4729.98,0.41,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,100,02,6801.98,0.59,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,100,04,6512.66,0.57,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,100,05,5139.25,0.45,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,100,07,3333.54,0.29,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,100,08,3333.54,0.29,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,100,09,3333.54,0.29,00_00_00_09
Shipping_Economic_Loss,G,average,20,00,2215.55,1.01,00_00_00_00
Shipping_Economic_Loss,G,average,20,01,1757.15,0.8,00_00_00_01
Shipping_Economic_Loss,G,average,20,02,1915.03,0.88,00_00_00_02
Shipping_Economic_Loss,G,average,20,04,1297.94,0.59,00_00_00_04
Shipping_Economic_Loss,G,average,20,05,1297.94,0.59,00_00_00_05
Shipping_Economic_Loss,G,average,20,07,1032.15,0.47,00_00_00_07
Shipping_Economic_Loss,G,average,20,08,1032.15,0.47,00_00_00_08
Shipping_Economic_Loss,G,average,20,09,1032.15,0.47,00_00_00_09
Shipping_Economic_Loss,G,average,60,00,5584.71,1.04,00_00_00_00
Shipping_Economic_Loss,G,average,60,01,3126.41,0.58,00_00_00_01
Shipping_Economic_Loss,G,average,60,02,4608.2,0.86,00_00_00_02
Shipping_Economic_Loss,G,average,60,04,4380.71,0.81,00_00_00_04
Shipping_Economic_Loss,G,average,60,05,3881.55,0.72,00_00_00_05
Shipping_Economic_Loss,G,average,60,07,1601.43,0.3,00_00_00_07
Shipping_Economic_Loss,G,average,60,08,1601.43,0.3,00_00_00_08
Shipping_Economic_Loss,G,average,60,09,1601.43,0.3,00_00_00_09
Shipping_Economic_Loss,G,average,100,00,8813.45,1.05,00_00_00_00
Shipping_Economic_Loss,G,average,100,01,4308.7,0.52,00_00_00_01
Shipping_Economic_Loss,G,average,100,02,6982.95,0.84,00_00_00_02
Shipping_Economic_Loss,G,average,100,04,6896.61,0.83,00_00_00_04
Shipping_Economic_Loss,G,average,100,05,5656.54,0.67,00_00_00_05
Shipping_Economic_Loss,G,average,100,07,2134.13,0.26,00_00_00_07
Shipping_Economic_Loss,G,average,100,08,2134.13,0.26,00_00_00_08
Shipping_Economic_Loss,G,average,100,09,2134.13,0.26,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,20,00,2306.33,1.01,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,20,01,1797.64,0.79,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,20,02,1979.72,0.87,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,20,04,1336.81,0.59,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,20,05,1336.81,0.59,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,20,07,1052.54,0.46,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,20,08,1052.54,0.46,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,20,09,1052.54,0.46,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,60,00,6477.42,1.03,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,60,01,3116.16,0.49,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,60,02,4518.45,0.72,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,60,04,4238.47,0.67,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,60,05,3598.32,0.57,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,60,07,1919.94,0.3,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,60,08,1919.94,0.3,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,60,09,1919.94,0.3,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,100,00,11667.41,1.05,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,100,01,4602.7,0.41,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,100,02,6601.21,0.6,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,100,04,6391.81,0.58,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,100,05,5539.22,0.5,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,100,07,3239.68,0.29,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,100,08,3239.68,0.29,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,100,09,3239.68,0.29,00_00_00_09
Shipping_Economic_Loss,Wp,average,20,00,2397.1,1.01,00_00_00_00
Shipping_Economic_Loss,Wp,average,20,01,1838.14,0.77,00_00_00_01
Shipping_Economic_Loss,Wp,average,20,02,2044.4,0.86,00_00_00_02
Shipping_Economic_Loss,Wp,average,20,04,1375.67,0.58,00_00_00_04
Shipping_Economic_Loss,Wp,average,20,05,1375.67,0.58,00_00_00_05
Shipping_Economic_Loss,Wp,average,20,07,1072.93,0.45,00_00_00_07
Shipping_Economic_Loss,Wp,average,20,08,1072.93,0.45,00_00_00_08
Shipping_Economic_Loss,Wp,average,20,09,1072.93,0.45,00_00_00_09
Shipping_Economic_Loss,Wp,average,60,00,7370.14,1.03,00_00_00_00
Shipping_Economic_Loss,Wp,average,60,01,3105.91,0.44,00_00_00_01
Shipping_Economic_Loss,Wp,average,60,02,4428.69,0.62,00_00_00_02
Shipping_Economic_Loss,Wp,average,60,04,4096.24,0.57,00_00_00_04
Shipping_Economic_Loss,Wp,average,60,05,3315.1,0.46,00_00_00_05
Shipping_Economic_Loss,Wp,average,60,07,2238.45,0.31,00_00_00_07
Shipping_Economic_Loss,Wp,average,60,08,2238.45,0.31,00_00_00_08
Shipping_Economic_Loss,Wp,average,60,09,2238.45,0.31,00_00_00_09
Shipping_Economic_Loss,Wp,average,100,00,14521.36,1.05,00_00_00_00
Shipping_Economic_Loss,Wp,average,100,01,4896.69,0.35,00_00_00_01
Shipping_Economic_Loss,Wp,average,100,02,6219.48,0.45,00_00_00_02
Shipping_Economic_Loss,Wp,average,100,04,5887.02,0.43,00_00_00_04
Shipping_Economic_Loss,Wp,average,100,05,5421.89,0.39,00_00_00_05
Shipping_Economic_Loss,Wp,average,100,07,4345.24,0.32,00_00_00_07
Shipping_Economic_Loss,Wp,average,100,08,4345.24,0.32,00_00_00_08
Shipping_Economic_Loss,Wp,average,100,09,4345.24,0.32,00_00_00_09
Shipping_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,20,01,573.02,0.44,00_00_00_01
Shipping_Measure_Costs,D,average,20,02,16.76,0.01,00_00_00_02
Shipping_Measure_Costs,D,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,60,01,1187.06,0.55,00_00_00_01
Shipping_Measure_Costs,D,average,60,02,244.49,0.11,00_00_00_02
Shipping_Measure_Costs,D,average,60,04,330.37,0.15,00_00_00_04
Shipping_Measure_Costs,D,average,60,05,1165.98,0.54,00_00_00_05
Shipping_Measure_Costs,D,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,100,01,1718.26,0.52,00_00_00_01
Shipping_Measure_Costs,D,average,100,02,524.2,0.16,00_00_00_02
Shipping_Measure_Costs,D,average,100,04,632.63,0.19,00_00_00_04
Shipping_Measure_Costs,D,average,100,05,1816.7,0.55,00_00_00_05
Shipping_Measure_Costs,D,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,20,01,573.02,0.44,00_00_00_01
Shipping_Measure_Costs,D&G,average,20,02,16.76,0.01,00_00_00_02
Shipping_Measure_Costs,D&G,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D&G,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D&G,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D&G,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D&G,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,60,01,1178.34,0.55,00_00_00_01
Shipping_Measure_Costs,D&G,average,60,02,230.71,0.11,00_00_00_02
Shipping_Measure_Costs,D&G,average,60,04,311.91,0.15,00_00_00_04
Shipping_Measure_Costs,D&G,average,60,05,935.51,0.43,00_00_00_05
Shipping_Measure_Costs,D&G,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D&G,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D&G,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,100,01,1708.97,0.52,00_00_00_01
Shipping_Measure_Costs,D&G,average,100,02,487.02,0.15,00_00_00_02
Shipping_Measure_Costs,D&G,average,100,04,608.77,0.19,00_00_00_04
Shipping_Measure_Costs,D&G,average,100,05,1564.62,0.47,00_00_00_05
Shipping_Measure_Costs,D&G,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D&G,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D&G,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,20,01,603.53,0.47,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,20,02,17.27,0.01,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,20,04,41.5,0.03,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,20,05,41.5,0.03,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,20,07,1233.38,0.95,00_00_00_07
Shipping_Measure_Costs,D&G&Wp,average,20,08,1233.38,0.95,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,20,09,1233.38,0.95,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,60,01,1356.17,0.63,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,60,02,640.3,0.3,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,60,04,690.71,0.32,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,60,05,1175.57,0.54,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,60,07,1975.64,0.92,00_00_00_07
Shipping_Measure_Costs,D&G&Wp,average,60,08,1975.64,0.92,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,60,09,1975.64,0.92,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,100,01,1961.35,0.59,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,100,02,1096.19,0.33,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,100,04,1173.63,0.35,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,100,05,1876.0,0.57,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,100,07,2717.9,0.82,00_00_00_07
