objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Economic_Loss,D&Wp,average,20,07,1057.74,0.46,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,20,08,1057.74,0.46,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,20,09,1057.74,0.46,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,60,00,6604.0,1.03,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,60,01,3169.06,0.49,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,60,02,4614.26,0.72,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,60,04,4268.08,0.67,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,60,05,3353.91,0.53,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,60,07,1957.66,0.3,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,60,08,1957.66,0.3,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,60,09,1957.66,0.3,00_00_00_09
Shipping_Economic_Loss,D&Wp,average,100,00,12060.15,1.06,00_00_00_00
Shipping_Economic_Loss,D&Wp,average,100,01,4746.88,0.42,00_00_00_01
Shipping_Economic_Loss,D&Wp,average,100,02,6822.97,0.6,00_00_00_02
Shipping_Economic_Loss,D&Wp,average,100,04,6529.06,0.57,00_00_00_04
Shipping_Economic_Loss,D&Wp,average,100,05,5156.59,0.45,00_00_00_05
Shipping_Economic_Loss,D&Wp,average,100,07,3354.28,0.29,00_00_00_07
Shipping_Economic_Loss,D&Wp,average,100,08,3354.28,0.29,00_00_00_08
Shipping_Economic_Loss,D&Wp,average,100,09,3354.28,0.29,00_00_00_09
Shipping_Economic_Loss,G,average,20,00,2214.76,1.01,00_00_00_00
Shipping_Economic_Loss,G,average,20,01,1756.53,0.8,00_00_00_01
Shipping_Economic_Loss,G,average,20,02,1914.36,0.88,00_00_00_02
Shipping_Economic_Loss,G,average,20,04,1297.25,0.59,00_00_00_04
Shipping_Economic_Loss,G,average,20,05,1297.25,0.59,00_00_00_05
Shipping_Economic_Loss,G,average,20,07,1031.87,0.47,00_00_00_07
Shipping_Economic_Loss,G,average,20,08,1031.87,0.47,00_00_00_08
Shipping_Economic_Loss,G,average,20,09,1031.87,0.47,00_00_00_09
Shipping_Economic_Loss,G,average,60,00,5587.02,1.04,00_00_00_00
Shipping_Economic_Loss,G,average,60,01,3132.97,0.58,00_00_00_01
Shipping_Economic_Loss,G,average,60,02,4613.61,0.86,00_00_00_02
Shipping_Economic_Loss,G,average,60,04,4380.8,0.81,00_00_00_04
Shipping_Economic_Loss,G,average,60,05,3883.17,0.72,00_00_00_05
Shipping_Economic_Loss,G,average,60,07,1602.09,0.3,00_00_00_07
Shipping_Economic_Loss,G,average,60,08,1602.09,0.3,00_00_00_08
Shipping_Economic_Loss,G,average,60,09,1602.09,0.3,00_00_00_09
Shipping_Economic_Loss,G,average,100,00,8850.0,1.06,00_00_00_00
Shipping_Economic_Loss,G,average,100,01,4322.4,0.52,00_00_00_01
Shipping_Economic_Loss,G,average,100,02,7006.82,0.84,00_00_00_02
Shipping_Economic_Loss,G,average,100,04,6906.98,0.83,00_00_00_04
Shipping_Economic_Loss,G,average,100,05,5668.18,0.67,00_00_00_05
Shipping_Economic_Loss,G,average,100,07,2145.46,0.26,00_00_00_07
Shipping_Economic_Loss,G,average,100,08,2145.46,0.26,00_00_00_08
Shipping_Economic_Loss,G,average,100,09,2145.46,0.26,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,20,00,2305.52,1.01,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,20,01,1797.07,0.79,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,20,02,1979.03,0.87,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,20,04,1336.1,0.58,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,20,05,1336.1,0.58,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,20,07,1052.24,0.46,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,20,08,1052.24,0.46,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,20,09,1052.24,0.46,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,60,00,6482.68,1.04,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,60,01,3120.9,0.5,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,60,02,4522.39,0.72,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,60,04,4240.3,0.68,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,60,05,3600.4,0.57,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,60,07,1921.83,0.3,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,60,08,1921.83,0.3,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,60,09,1921.83,0.3,00_00_00_09
Shipping_Economic_Loss,G&Wp,average,100,00,11733.32,1.06,00_00_00_00
Shipping_Economic_Loss,G&Wp,average,100,01,4624.29,0.42,00_00_00_01
Shipping_Economic_Loss,G&Wp,average,100,02,6627.68,0.6,00_00_00_02
Shipping_Economic_Loss,G&Wp,average,100,04,6412.08,0.58,00_00_00_04
Shipping_Economic_Loss,G&Wp,average,100,05,5561.93,0.5,00_00_00_05
Shipping_Economic_Loss,G&Wp,average,100,07,3262.55,0.29,00_00_00_07
Shipping_Economic_Loss,G&Wp,average,100,08,3262.55,0.29,00_00_00_08
Shipping_Economic_Loss,G&Wp,average,100,09,3262.55,0.29,00_00_00_09
Shipping_Economic_Loss,Wp,average,20,00,2396.28,1.01,00_00_00_00
Shipping_Economic_Loss,Wp,average,20,01,1837.62,0.77,00_00_00_01
Shipping_Economic_Loss,Wp,average,20,02,2043.7,0.86,00_00_00_02
Shipping_Economic_Loss,Wp,average,20,04,1374.94,0.58,00_00_00_04
Shipping_Economic_Loss,Wp,average,20,05,1374.94,0.58,00_00_00_05
Shipping_Economic_Loss,Wp,average,20,07,1072.62,0.45,00_00_00_07
Shipping_Economic_Loss,Wp,average,20,08,1072.62,0.45,00_00_00_08
Shipping_Economic_Loss,Wp,average,20,09,1072.62,0.45,00_00_00_09
Shipping_Economic_Loss,Wp,average,60,00,7378.34,1.03,00_00_00_00
Shipping_Economic_Loss,Wp,average,60,01,3108.82,0.44,00_00_00_01
Shipping_Economic_Loss,Wp,average,60,02,4431.18,0.62,00_00_00_02
Shipping_Economic_Loss,Wp,average,60,04,4099.8,0.57,00_00_00_04
Shipping_Economic_Loss,Wp,average,60,05,3317.62,0.46,00_00_00_05
Shipping_Economic_Loss,Wp,average,60,07,2241.56,0.31,00_00_00_07
Shipping_Economic_Loss,Wp,average,60,08,2241.56,0.31,00_00_00_08
Shipping_Economic_Loss,Wp,average,60,09,2241.56,0.31,00_00_00_09
Shipping_Economic_Loss,Wp,average,100,00,14616.65,1.06,00_00_00_00
Shipping_Economic_Loss,Wp,average,100,01,4926.18,0.36,00_00_00_01
Shipping_Economic_Loss,Wp,average,100,02,6248.54,0.45,00_00_00_02
Shipping_Economic_Loss,Wp,average,100,04,5917.17,0.43,00_00_00_04
Shipping_Economic_Loss,Wp,average,100,05,5455.69,0.4,00_00_00_05
Shipping_Economic_Loss,Wp,average,100,07,4379.63,0.32,00_00_00_07
Shipping_Economic_Loss,Wp,average,100,08,4379.63,0.32,00_00_00_08
Shipping_Economic_Loss,Wp,average,100,09,4379.63,0.32,00_00_00_09
Shipping_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,20,01,573.02,0.44,00_00_00_01
Shipping_Measure_Costs,D,average,20,02,16.76,0.01,00_00_00_02
Shipping_Measure_Costs,D,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,60,01,1189.12,0.56,00_00_00_01
Shipping_Measure_Costs,D,average,60,02,239.04,0.11,00_00_00_02
Shipping_Measure_Costs,D,average,60,04,333.33,0.16,00_00_00_04
Shipping_Measure_Costs,D,average,60,05,1167.12,0.54,00_00_00_05
Shipping_Measure_Costs,D,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D,average,100,01,1728.53,0.53,00_00_00_01
Shipping_Measure_Costs,D,average,100,02,547.72,0.17,00_00_00_02
Shipping_Measure_Costs,D,average,100,04,665.66,0.2,00_00_00_04
Shipping_Measure_Costs,D,average,100,05,1824.24,0.55,00_00_00_05
Shipping_Measure_Costs,D,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,20,01,573.02,0.44,00_00_00_01
Shipping_Measure_Costs,D&G,average,20,02,16.76,0.01,00_00_00_02
Shipping_Measure_Costs,D&G,average,20,04,41.08,0.03,00_00_00_04
Shipping_Measure_Costs,D&G,average,20,05,41.08,0.03,00_00_00_05
Shipping_Measure_Costs,D&G,average,20,07,1230.29,0.95,00_00_00_07
Shipping_Measure_Costs,D&G,average,20,08,1230.29,0.95,00_00_00_08
Shipping_Measure_Costs,D&G,average,20,09,1230.29,0.95,00_00_00_09
Shipping_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,60,01,1180.45,0.55,00_00_00_01
Shipping_Measure_Costs,D&G,average,60,02,226.76,0.11,00_00_00_02
Shipping_Measure_Costs,D&G,average,60,04,315.97,0.15,00_00_00_04
Shipping_Measure_Costs,D&G,average,60,05,935.16,0.43,00_00_00_05
Shipping_Measure_Costs,D&G,average,60,07,1972.55,0.92,00_00_00_07
Shipping_Measure_Costs,D&G,average,60,08,1972.55,0.92,00_00_00_08
Shipping_Measure_Costs,D&G,average,60,09,1972.55,0.92,00_00_00_09
Shipping_Measure_Costs,D&G,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G,average,100,01,1717.45,0.52,00_00_00_01
Shipping_Measure_Costs,D&G,average,100,02,504.13,0.15,00_00_00_02
Shipping_Measure_Costs,D&G,average,100,04,635.89,0.2,00_00_00_04
Shipping_Measure_Costs,D&G,average,100,05,1577.23,0.48,00_00_00_05
Shipping_Measure_Costs,D&G,average,100,07,2714.81,0.82,00_00_00_07
Shipping_Measure_Costs,D&G,average,100,08,2714.81,0.82,00_00_00_08
Shipping_Measure_Costs,D&G,average,100,09,2714.81,0.82,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,20,01,603.53,0.47,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,20,02,17.27,0.01,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,20,04,41.5,0.03,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,20,05,41.5,0.03,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,20,07,1233.38,0.95,00_00_00_07
Shipping_Measure_Costs,D&G&Wp,average,20,08,1233.38,0.95,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,20,09,1233.38,0.95,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,60,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,60,01,1357.54,0.63,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,60,02,637.67,0.3,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,60,04,693.33,0.32,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,60,05,1175.32,0.54,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,60,07,1975.64,0.92,00_00_00_07
Shipping_Measure_Costs,D&G&Wp,average,60,08,1975.64,0.92,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,60,09,1975.64,0.92,00_00_00_09
Shipping_Measure_Costs,D&G&Wp,average,100,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&G&Wp,average,100,01,1966.96,0.59,00_00_00_01
Shipping_Measure_Costs,D&G&Wp,average,100,02,1107.59,0.33,00_00_00_02
Shipping_Measure_Costs,D&G&Wp,average,100,04,1191.63,0.36,00_00_00_04
Shipping_Measure_Costs,D&G&Wp,average,100,05,1884.38,0.57,00_00_00_05
Shipping_Measure_Costs,D&G&Wp,average,100,07,2717.9,0.82,00_00_00_07
Shipping_Measure_Costs,D&G&Wp,average,100,08,2717.9,0.82,00_00_00_08
Shipping_Measure_Costs,D&G&Wp,average,100,09,2717.9,0.82,00_00_00_09
Shipping_Measure_Costs,D&Wp,average,20,00,0.0,0.0,00_00_00_00
Shipping_Measure_Costs,D&Wp,average,20,01,618.79,0.48,00_00_00_01
Shipping_Measure_Costs,D&Wp,average,20,02,17.52,0.01,00_00_00_02
Shipping_Measure_Costs,D&Wp,average,20,04,41.71,0.03,00_00_00_04
Shipping_Measure_Costs,D&Wp,average,20,05,41.71,0.03,00_00_00_05
Shipping_Measure_Costs,D&Wp,average,20,07,1234.93,0.95,00_00_00_07
Shipping_Measure_Costs,D&Wp,average,20,08,1234.93,0.95,00_00_00_08
Shipping_Measure_Costs,D&Wp,average,20,09,1234.93,0.95,00_00_00_09
Shipping_Measure_Costs,D&Wp,average,60,00,0.0,0.0,00_00_00_00
