objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,100,03,447.03,1.13,03_00_00_00
Crop_Loss,D&Wp,average,100,05,369.16,0.93,05_00_00_00
Crop_Loss,D&Wp,average,100,07,372.18,0.94,07_00_00_00
Crop_Loss,D&Wp,average,100,09,430.05,1.09,09_00_00_00
Crop_Loss,D&Wp,average,100,11,424.76,1.07,11_00_00_00
Crop_Loss,D&Wp,average,100,13,378.11,0.96,13_00_00_00
Crop_Loss,G,average,20,00,35.91,1.0,00_00_00_00
Crop_Loss,G,average,20,01,36.21,1.01,01_00_00_00
Crop_Loss,G,average,20,03,37.06,1.03,03_00_00_00
Crop_Loss,G,average,20,05,34.17,0.95,05_00_00_00
Crop_Loss,G,average,20,07,34.17,0.95,07_00_00_00
Crop_Loss,G,average,20,09,35.91,1.0,09_00_00_00
Crop_Loss,G,average,20,11,36.21,1.01,11_00_00_00
Crop_Loss,G,average,20,13,35.77,1.0,13_00_00_00
Crop_Loss,G,average,60,00,136.34,1.0,00_00_00_00
Crop_Loss,G,average,60,01,152.18,1.12,01_00_00_00
Crop_Loss,G,average,60,03,156.51,1.15,03_00_00_00
Crop_Loss,G,average,60,05,125.63,0.92,05_00_00_00
Crop_Loss,G,average,60,07,125.39,0.92,07_00_00_00
Crop_Loss,G,average,60,09,146.84,1.08,09_00_00_00
Crop_Loss,G,average,60,11,143.28,1.05,11_00_00_00
Crop_Loss,G,average,60,13,130.18,0.95,13_00_00_00
Crop_Loss,G,average,100,00,232.32,1.0,00_00_00_00
Crop_Loss,G,average,100,01,272.73,1.17,01_00_00_00
Crop_Loss,G,average,100,03,279.33,1.2,03_00_00_00
Crop_Loss,G,average,100,05,203.78,0.88,05_00_00_00
Crop_Loss,G,average,100,07,204.45,0.88,07_00_00_00
Crop_Loss,G,average,100,09,264.77,1.14,09_00_00_00
Crop_Loss,G,average,100,11,254.16,1.09,11_00_00_00
Crop_Loss,G,average,100,13,212.29,0.91,13_00_00_00
