objective_parameter,scenario_of_interest,robustness_metric,year,flood_agr,Value,normalized_values,pw_combi
Crop_Loss,D&Wp,average,100,03,201.74,0.51,03_00_00_00
Crop_Loss,D&Wp,average,100,05,159.14,0.4,05_00_00_00
Crop_Loss,D&Wp,average,100,07,156.57,0.4,07_00_00_00
Crop_Loss,D&Wp,average,100,09,191.86,0.49,09_00_00_00
Crop_Loss,D&Wp,average,100,11,172.02,0.43,11_00_00_00
Crop_Loss,D&Wp,average,100,13,167.58,0.42,13_00_00_00
Crop_Loss,G,average,20,00,30.31,0.84,00_00_00_00
Crop_Loss,G,average,20,01,30.39,0.85,01_00_00_00
Crop_Loss,G,average,20,03,31.04,0.86,03_00_00_00
Crop_Loss,G,average,20,05,29.17,0.81,05_00_00_00
Crop_Loss,G,average,20,07,29.17,0.81,07_00_00_00
Crop_Loss,G,average,20,09,30.48,0.85,09_00_00_00
Crop_Loss,G,average,20,11,30.39,0.85,11_00_00_00
Crop_Loss,G,average,20,13,30.22,0.84,13_00_00_00
Crop_Loss,G,average,60,00,81.9,0.6,00_00_00_00
Crop_Loss,G,average,60,01,86.27,0.63,01_00_00_00
Crop_Loss,G,average,60,03,95.7,0.7,03_00_00_00
Crop_Loss,G,average,60,05,74.57,0.55,05_00_00_00
Crop_Loss,G,average,60,07,73.96,0.54,07_00_00_00
Crop_Loss,G,average,60,09,89.02,0.65,09_00_00_00
Crop_Loss,G,average,60,11,82.39,0.6,11_00_00_00
Crop_Loss,G,average,60,13,78.51,0.58,13_00_00_00
Crop_Loss,G,average,100,00,120.11,0.52,00_00_00_00
Crop_Loss,G,average,100,01,131.14,0.56,01_00_00_00
Crop_Loss,G,average,100,03,151.04,0.65,03_00_00_00
Crop_Loss,G,average,100,05,105.23,0.45,05_00_00_00
Crop_Loss,G,average,100,07,103.14,0.44,07_00_00_00
Crop_Loss,G,average,100,09,138.89,0.6,09_00_00_00
Crop_Loss,G,average,100,11,121.56,0.52,11_00_00_00
Crop_Loss,G,average,100,13,111.59,0.48,13_00_00_00
Crop_Loss,G&Wp,average,20,00,35.31,0.81,00_00_00_00
Crop_Loss,G&Wp,average,20,01,35.47,0.81,01_00_00_00
Crop_Loss,G&Wp,average,20,03,36.04,0.83,03_00_00_00
Crop_Loss,G&Wp,average,20,05,34.26,0.78,05_00_00_00
Crop_Loss,G&Wp,average,20,07,34.26,0.78,07_00_00_00
Crop_Loss,G&Wp,average,20,09,35.47,0.81,09_00_00_00
Crop_Loss,G&Wp,average,20,11,35.47,0.81,11_00_00_00
Crop_Loss,G&Wp,average,20,13,35.22,0.81,13_00_00_00
Crop_Loss,G&Wp,average,60,00,108.89,0.53,00_00_00_00
Crop_Loss,G&Wp,average,60,01,112.08,0.54,01_00_00_00
Crop_Loss,G&Wp,average,60,03,121.59,0.59,03_00_00_00
Crop_Loss,G&Wp,average,60,05,99.76,0.48,05_00_00_00
Crop_Loss,G&Wp,average,60,07,99.01,0.48,07_00_00_00
Crop_Loss,G&Wp,average,60,09,116.45,0.56,09_00_00_00
Crop_Loss,G&Wp,average,60,11,108.08,0.52,11_00_00_00
Crop_Loss,G&Wp,average,60,13,104.22,0.5,13_00_00_00
Crop_Loss,G&Wp,average,100,00,181.56,0.44,00_00_00_00
Crop_Loss,G&Wp,average,100,01,188.24,0.46,01_00_00_00
Crop_Loss,G&Wp,average,100,03,207.68,0.5,03_00_00_00
Crop_Loss,G&Wp,average,100,05,163.39,0.39,05_00_00_00
Crop_Loss,G&Wp,average,100,07,160.61,0.39,07_00_00_00
Crop_Loss,G&Wp,average,100,09,199.85,0.48,09_00_00_00
Crop_Loss,G&Wp,average,100,11,179.24,0.43,11_00_00_00
